CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-01-01;2018-12-31;3.01;Receitas da Intermediação Financeira;120250344.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-01-01;2019-12-31;3.01;Receitas da Intermediação Financeira;123105325.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-01-01;2018-12-31;3.01.01;Receita de Juros;120250344.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-01-01;2019-12-31;3.01.01;Receita de Juros;123105325.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-01-01;2018-12-31;3.02;Despesas da Intermediação Financeira;-82160825.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-01-01;2019-12-31;3.02;Despesas da Intermediação Financeira;-89253866.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-01-01;2018-12-31;3.02.01;Despesas de Juros;-69536974.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-01-01;2019-12-31;3.02.01;Despesas de Juros;-69306296.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-01-01;2018-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-12462801.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-01-01;2019-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-16959338.0000000000;N
