CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01;Receitas de Intermediação Financeira;130254642.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01;Receitas de Intermediação Financeira;229637958.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.01;Operações de Crédito;84254592.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.01;Operações de Crédito;113112904.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.03;Resultado de Operações com TVM;42786793.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.03;Resultado de Operações com TVM;109331847.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.04;Resultado de IFD;1257206.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.04;Resultado de IFD;-883493.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.05;Resultado de Operações de Câmbio;-84759.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.05;Resultado de Operações de Câmbio;897417.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.06;Resultado das Aplicações Compulsórias;1966213.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.06;Resultado das Aplicações Compulsórias;6343128.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.07;Operações de venda ou de Transferência de Ativos Fin;-87853.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.07;Operações de venda ou de Transferência de Ativos Fin;382323.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.08;Resultado de outros ativos financeiros;162450.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.01.08;Resultado de outros ativos financeiros;453832.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02;Despesas de Intermediação Financeira;-89177730.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02;Despesas de Intermediação Financeira;-179583757.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.01;Operações de Captação no Mercado;-55310911.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.01;Operações de Captação no Mercado;-152713664.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.02;Operações de Empréstimos, Cessões e Repasses;-15481440.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.02;Operações de Empréstimos, Cessões e Repasses;-3242069.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.03;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.03;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.04;Operações de venda ou de Transferência de Ativos Fin;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.04;Operações de venda ou de Transferência de Ativos Fin;0.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.05;Provisão p/ Créditos de Liquidação Duvidosa;-18385379.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.02.05;Provisão p/ Créditos de Liquidação Duvidosa;-23628024.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.03;Resultado Bruto de Intermediação Financeira;41076912.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.03;Resultado Bruto de Intermediação Financeira;50054201.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04;Outras Despesas e Receitas Operacionais;-18086750.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04;Outras Despesas e Receitas Operacionais;-10471759.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.02;Receitas de Prestação de Serviços;18986389.0000000000;S
