CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.06.01;Compromissos de empréstimos;489888.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.06.01;Compromissos de empréstimos;912349.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.06.02;Outros;74891778.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.06.02;Outros;100997973.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.07;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.07;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.07.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.07.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08;Patrimônio Líquido Consolidado;104539971.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08;Patrimônio Líquido Consolidado;109971379.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.01;Capital Social Realizado;75100000.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.01;Capital Social Realizado;75100000.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.01.01;Capital Social;67000000.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.01.01;Capital Social;67000000.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.01.02;Instrumento Elegível a Capital Principal;8100000.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.01.02;Instrumento Elegível a Capital Principal;8100000.0000000000;N
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02;Reservas de Capital;3407717.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02;Reservas de Capital;6253263.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02.01;Ágio na Emissão de Ações;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02.02;Reserva Especial de Ágio na Incorporação;5241148.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02.02;Reserva Especial de Ágio na Incorporação;6592899.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02.03;Alienação de Bônus de Subscrição;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02.04;Opções Outorgadas;0.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.02.05;Ações em Tesouraria;-1833431.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2019-12-31;2.08.02.05;Ações em Tesouraria;-339636.0000000000;S
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2018-12-31;2.08.03;Reservas de Reavaliação;0.0000000000;S
