CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.05;Dividendos Pagos;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.05;Dividendos Pagos;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.06;Adiantamento para Futuro Aumento de Capital;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.06;Adiantamento para Futuro Aumento de Capital;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.07;Recompra de Ações;-11781.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.07;Recompra de Ações;-3007.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.08;Aumento de Capital Mediante Subscrição de Ações, Líquido;513257.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.08;Aumento de Capital Mediante Subscrição de Ações, Líquido;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.09;Cessão de Direitos Creditórios;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.09;Cessão de Direitos Creditórios;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.10;Emissões de Debêntures;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.10;Emissões de Debêntures;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.11;Pagamento de Arrendamento Mercantil e Direito de Uso;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.11;Pagamento de Arrendamento Mercantil e Direito de Uso;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.03.12;Pagamento de Debêntures;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.03.12;Pagamento de Debêntures;0.0000000000;N
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-187249.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-3586.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;259482.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;72233.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;72233.0000000000;S
21.314.559/0001-66;2020-12-31;1;MOVIDA PARTICIPACOES SA;023825;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;68647.0000000000;S
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01;Caixa Líquido Atividades Operacionais;-1.0000000000;S
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01;Caixa Líquido Atividades Operacionais;2095026.0000000000;S
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01;Caixa Gerado nas Operações;-1.0000000000;S
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01;Caixa Gerado nas Operações;2782428.0000000000;S
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.01;Amortizações;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.01;Amortizações;500714.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.02;Resultado nas alienações de ativo intangível;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.02;Resultado nas alienações de ativo intangível;2866.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.03;Transações com pagamento baseado em ações;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.03;Transações com pagamento baseado em ações;8240.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.04;Provisão para demandas judiciais;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.04;Provisão para demandas judiciais;-24468.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.05;Juros, variações monetárias e cambiais, líquidos;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.05;Juros, variações monetárias e cambiais, líquidos;319373.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.06;Provisão de bônus e participação no resultado;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.06;Provisão de bônus e participação no resultado;42872.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.07;Perda esperada em créditos de liquidação duvidosa;0.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;6.01.01.07;Perda esperada em créditos de liquidação duvidosa;25638.0000000000;N
21.389.501/0001-81;2020-12-31;1;COMPASS GÁS E ENERGIA S.A.;025127;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;6.01.01.08;Outros;0.0000000000;N
